﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F001,161.4,62.9,62.9,90.6,35.4,52.1,35.2,94.5,80.5,98.6,94.2,58.4,F,37
F002,168.1,56.1,56.1,88.5,35.4,54.6,31.8,95.2,74.4,92,107,51.3,F,26
F003,163.4,53.2,53.2,84.5,35.4,52.5,30.5,95.9,76.5,88.2,97.1,52.8,F,39
F004,164.1,49.4,49.4,80.5,33.5,57,30,95.4,64.1,87.8,100.1,50.3,F,30
F005,152.9,51.9,51.9,80.5,33.1,49,32.1,90.7,66.2,90.5,93.8,55,F,44
F006,159.7,47.6,47.6,79.5,32.1,51.1,30.5,94.7,64.4,87.3,93.9,47.6,F,50
F007,162.2,59.1,59.1,93,33.6,53.1,32.7,95.5,74.8,92.1,100.8,52.2,F,42
F008,157.6,61.6,61.6,99.7,36.6,51.5,32.4,90.7,82.6,92.2,95.5,51.5,F,65
F009,167.1,52.3,52.3,86.1,36.4,55.9,30.9,97,65.7,92.2,104.9,54.3,F,33
F010,160.8,52.7,52.7,82.2,34.4,52,30.8,95.2,68.7,91.9,100.6,53.5,F,55
F011,154,53,53,84.1,35.4,50.3,31.5,89.5,71.9,95.1,92.1,56,F,48
F012,152,74,74,101.9,33.8,50.5,36.2,89.3,99.7,105.4,90.2,64.4,F,50
F013,160.2,51.2,51.2,81,35.8,54.8,32.8,94.4,68.5,89,96.5,52.2,F,57
F014,160.5,45.6,45.6,76.9,32.6,51.5,28.6,94.4,61.9,90,97.9,51.2,F,51
F015,164.1,66.4,66.4,90.6,35.5,52.3,32.8,93.2,78,102.7,98.9,61.7,F,49
F016,167.6,74.1,74.1,105,37.8,54.5,35.6,98.2,90.4,98.3,103.5,58.1,F,44
F017,163.4,48,48,78,53.2,52.3,29.7,95.9,62.4,88,100.8,52.2,F,44
F018,157.1,50.5,50.5,81.7,32.8,52.5,31.8,90.7,67.3,92,98.4,54.6,F,39
F019,153.3,58.5,58.5,92.7,35.7,48.9,31.8,90.4,80.3,97.4,95.5,57.2,F,63
F020,159.3,56.3,56.3,89,33.9,54.4,36.4,94.9,78.8,88.4,98.8,52.5,F,54
F021,164.1,46.5,46.5,80,35.4,53.8,30.7,93.9,66.5,84.3,100.8,48,F,50
F022,150.1,45.1,45.1,88,32.1,49.8,29.7,87,66.7,83.7,90.5,48.2,F,56
F023,162.5,49.6,49.6,83.5,35.6,52.2,29.8,95.3,64.3,86,100.8,49.9,F,45
F024,160.8,48.3,48.3,82.8,34.3,51,31.9,96.2,68.7,86.5,94.9,49.8,F,32
F025,155.1,56.1,56.1,86,34.6,54.5,30.8,89.6,73.5,102,93.8,59.5,F,36
F026,163.2,58.5,58.5,90,33.6,54.3,30.8,96.3,74.4,94.7,98.4,54.5,F,60
F027,163.3,51.2,51.2,79.9,33.8,54.4,30.8,93.7,72.2,90.6,101.6,51.6,F,30
F028,161.5,51.2,51.2,84.5,35.9,53,32.6,92.3,67.5,88.3,96.1,50.6,F,25
F029,152.2,45.1,45.1,81.7,32.1,49.8,33.3,89.2,70.3,83.6,91.5,47.2,F,54
F030,167.4,59,59,90.6,35.8,55,35.8,98.9,75.6,95.5,103.6,54.8,F,39
F031,159.8,63.3,63.3,91.3,34.6,54,34,94,82.4,95.3,100.6,54.8,F,60
F032,155.4,47,47,77.8,32.2,51.9,32.7,88.2,61,88.1,94.8,53.1,F,22
F033,158.7,57.3,57.3,88,36.9,50.3,34.3,93.3,82.5,92.5,94.9,53.4,F,57
F034,150.9,50.5,50.5,85.2,34.4,46.1,32.8,89.2,74.3,87.9,91.8,49.9,F,54
F035,168.4,47.4,47.4,77.8,34.6,55.5,29.5,99.3,62.5,86.7,102.8,48,F,52
F036,162.7,64.4,64.4,90,33.8,53.9,33,94.1,79.8,97.5,100.4,60.1,F,49
F037,161.1,39.7,39.7,80.3,33.9,51,28,92.5,60,80,99,44.5,F,26
F038,161.5,48.4,48.4,84.1,32.9,53,31.6,93.7,68.3,87.8,101.1,47.4,F,40
F039,160.4,61.4,61.4,92.5,34.6,54,31.5,90.9,77,96.2,98.3,55.1,F,52
F040,156.9,51.3,51.3,83.7,33.9,50.8,31,90.3,66,94.6,94.5,54.3,F,35
F041,156.7,54,54,87.5,34.9,55.5,31.7,90.9,71.8,93.5,96.5,52.2,F,51
F042,153.6,49.8,49.8,84.3,33.5,48,30.6,89.2,68.9,88,95,53.2,F,23
F043,159.2,60.8,60.8,90.7,33.7,50,31.6,93.7,79.3,100.1,100.5,59.6,F,53
F044,154.7,66.1,66.1,99.6,34,50,35.1,90.5,85.4,97.7,96,57.1,F,47
F045,152.1,69.5,69.5,101.2,33,50.3,35.9,90.3,101.5,95.7,91.2,58,F,53
F046,162.9,65.9,65.9,90.8,34.4,53,33.1,94.5,81,101.9,101.4,60.4,F,55
F047,166.3,58.8,58.8,88.2,33.3,53.8,32.7,96.7,74.5,93.7,104.3,52.5,F,50
F048,158.4,49,49,78.9,34.2,49.4,30.3,92.6,70.4,91,96.3,51.5,F,53
F049,158.7,51.9,51.9,82.6,32.3,51,30.9,92.9,68.5,91.5,100.1,52.5,F,49
F050,169.9,64.5,64.5,87.7,35.2,54.4,34.6,98.8,76.6,100,104.9,57.6,F,49
F051,162.7,55.5,55.5,88.4,36,52.1,31.5,96.3,72.5,91,104.8,50,F,52
F052,156.4,73.4,73.4,102.1,36,51.5,35.2,92.6,90.3,102.1,98.4,59.9,F,50
F053,159.4,54.2,54.2,94.6,35.3,52.5,33.3,92.6,80.8,88.5,100.9,49.2,F,64
F054,154.6,51.8,51.8,87.5,34,48.1,33.6,91.5,75.5,89,94.6,51.1,F,66
F055,160.6,55.8,55.8,89.8,33.7,54.4,30.7,93.2,76.7,91,101.8,53,F,63
F056,161.6,65,65,90,35.4,50,34.6,96,78.4,105.4,101.1,63.5,F,35
F057,157.4,63.3,63.3,93.3,35.5,53,35.8,91,82.6,94.7,99.6,53.3,F,56
F058,166.7,62.8,62.8,90,38.1,51,34,99,76.4,97.8,104,57.9,F,46
F059,158.1,62,62,94,34.8,50.4,31.8,94,75.3,99.7,96,58.6,F,49
F060,166.7,60.2,60.2,88.8,37.6,55.7,32.5,97.8,73.7,97,103.8,56,F,29
F061,159.4,70.7,70.7,101.3,34.1,52.7,35.2,94.9,88,96,98.6,57.4,F,61
F062,164.5,54.5,54.5,85.6,37.2,51,31.4,97.7,71.7,93,102,56.7,F,37
F063,159.6,50.1,50.1,79.5,33.8,50.5,31,93.6,63.5,87,99.6,51.8,F,48
F064,160.4,71.6,71.6,101.2,35.3,52.5,38,94.7,90.8,98.3,97,55.8,F,55
F065,160.9,40.1,40.1,77.7,33.4,51,27.7,91.2,54.6,79.5,98.8,45.3,F,41
F066,159,46.2,46.2,78.2,34.5,51.5,28.8,94.1,67,87.9,98.5,50,F,40
F067,156.4,55,55,87.3,35.3,49.8,30,91.6,76,91.7,95.1,54.3,F,55
F068,157.2,63.1,63.1,97,35.4,52.2,37.4,91.8,84.4,94.5,96.1,51.9,F,55
F069,163.2,55.6,55.6,87,36.8,51.1,31.2,96.9,67.6,91,101.5,52,F,50
F070,166.5,90.1,90.1,103.3,35.4,57,39,100.4,89.7,109.2,104.9,70,F,48
F071,154.9,55.2,55.2,89.7,36.8,51.5,32,90.4,75,93.6,94.2,54,F,49
F072,161.7,59.7,59.7,80.1,35.4,52,33.3,94.1,71,96,103,59.8,F,26
F073,154.3,49.8,49.8,86.7,34.1,46.1,31.5,89.7,67,89.2,90.8,52.7,F,54
F074,161.6,76.3,76.3,105.3,37.9,53.6,37.7,96.5,89.1,104.4,97.8,63.9,F,49
F075,158.4,50.8,50.8,78.5,33.6,53.1,30.8,90.6,72.5,93.4,99.8,55.5,F,34
F076,156,64.5,64.5,92.8,34,54,34.8,92.3,89.7,96.5,95,57.2,F,50
F077,162,49.1,49.1,81.5,34.5,51.5,28.9,96.9,64.2,88.7,100.5,51,F,26
F078,162.1,90.9,90.9,114.8,37.3,54.2,37.4,97,104.3,111,94.2,66.3,F,42
F079,160.7,71.2,71.2,99.4,37.3,52.7,37.8,96.4,87.2,99,96.3,58.2,F,41
F080,165,54.4,54.4,88.5,34.4,54,30.7,96.2,64.8,91.9,101.7,53.5,F,38
F081,158.5,57.1,57.1,91.3,35.8,51.7,33.3,91.9,76.7,91.8,96.5,51.8,F,46
F082,162.2,55.5,55.5,84.2,35.7,52.3,31.8,96,74.7,91.9,99.1,53.9,F,53
F083,161,54.4,54.4,80.5,34.2,53.1,32.2,93.3,70.6,94,98.8,53.2,F,52
F084,150.7,57.7,57.7,95.5,35,49,32.8,91.5,81.5,97,89.2,55.9,F,52
F085,163.1,50.9,50.9,83.6,36,54,31.5,96.1,65.5,88,100.7,51.7,F,25
F086,154.1,55.5,55.5,93,34.5,48.6,33,89.9,79.5,92.7,90.8,52,F,60
F087,154.5,61,61,99.6,33.5,50.5,31.8,90.2,81,91.5,92.5,53.8,F,45
F088,149,50.4,50.4,87.7,33,48.5,31.4,86.2,71.1,86.7,92.2,52.5,F,53
F089,157.2,49.6,49.6,85,32.3,52.7,30.8,91.7,66.8,90,97.1,53,F,34
F090,151.3,52.9,52.9,92,33.5,49.3,34,87.4,80.4,97,91.4,53,F,54
F091,154.3,65.1,65.1,100.8,35,49.5,38,90.6,88.3,95,95,54.8,F,65
F092,172.2,60.1,60.1,83.6,37.4,56.8,32.5,101.1,69.4,96.5,108.3,55.2,F,44
F093,162.5,58,58,87.8,32.3,51,32.3,96,71.8,98,99.5,59.3,F,45
F094,157.8,59.3,59.3,90.8,34.6,50.5,33,92.5,79,96.7,96.6,57.5,F,55
F095,152.9,54.6,54.6,87,34.1,48.3,33.2,88.9,77,92.9,89.8,54.7,F,49
F096,156.4,50.3,50.3,81.5,33.4,49.8,30.5,90,66.6,89.3,96,53.3,F,49
F097,169,46.7,46.7,76,36.5,53.7,29,97.8,59.5,86.5,102.2,50,F,20
F098,158.5,71.4,71.4,101.5,35,52,34.4,92.7,94.4,105,94.7,61.8,F,55
F099,160.4,50.2,50.2,85.5,36.8,52,32,92.8,68.5,87.5,96.9,51.5,F,36
F100,155.5,62.8,62.8,99.3,36.8,52,33,92.1,86.9,95.9,92.8,56.7,F,48
F101,155.8,59.8,59.8,97,38.3,51.7,35.5,90.1,87.5,93,91.7,55,F,58
F102,162.5,76.6,76.6,101,37.4,53.3,36.8,93.2,90.5,105.5,97,65.2,F,53
F103,161,51.2,51.2,83,35.8,32.7,31.2,92.9,66,90.2,97.5,53.4,F,21
F104,162.5,56.3,56.3,85.3,34.8,51.5,32,97.6,72,94.5,99.5,54.3,F,37
F105,146.3,52.5,52.5,86.7,34.5,48.5,30.8,85.7,84.5,94.3,83.3,55.6,F,67
F106,156.2,54.7,54.7,86,33.9,52.8,33.9,90.1,77.4,92.4,94.5,53.1,F,49
F107,159.1,58.2,58.2,91.7,36.8,51.2,32.7,93.4,77.5,94.3,97.3,56.3,F,49
F108,156.7,63.3,63.3,94.7,35.8,51,34.7,92.1,80.3,95.7,95.8,57.9,F,52
F109,159.1,59.9,59.9,93.7,35.7,54.3,32.2,94.1,85.3,91.7,95.5,52.3,F,59
F110,164.1,59.3,59.3,88.5,37.4,52.8,38.4,95.5,74.4,95.9,98.3,57.4,F,37
F111,155.8,56.4,56.4,86.5,34.7,52.7,31.5,90.7,75,93,95.3,55.3,F,45
F112,164.5,58.9,58.9,87,34.7,52.2,33,96,68,98.5,99,55.3,F,28
F113,155.7,51.4,51.4,87,33.8,49.8,31.2,92.1,70.5,88.4,94.2,50.2,F,57
F114,161.4,56.8,56.8,89.1,32.7,53.3,31,95.4,69.2,95,99.5,54,F,34
F115,159.8,69,69,99.3,36.8,55.2,34.8,92.9,93,98.5,96.5,58.3,F,63
F116,169.3,83.1,83.1,110.8,41.1,55,37.5,98.1,98.5,102.2,102.8,58.1,F,47
F117,158.7,69.1,69.1,108,38.1,51.4,34.2,92.8,89,100.5,92.7,57.7,F,45
F118,156.1,49.7,49.7,82.5,35.9,51.4,31,90.2,70.8,86.5,95,49.8,F,61
F119,160.7,52.5,52.5,87.6,35.9,53,32.5,92.6,68,88.6,99.5,51.4,F,27
F120,155.9,53.2,53.2,88.2,32.4,50.8,33.2,89.7,75.5,92.9,91.7,52.1,F,65
F121,155.8,55.1,55.1,90,33.5,51.3,32.5,90.2,81.7,92.5,92.5,50.8,F,67
F122,163,65.9,65.9,94.7,33.8,52,33.8,98.2,83.5,100.3,97,61.9,F,42
F123,157.8,56.4,56.4,92.6,34.8,53.7,31,91.8,81.4,90.3,96.6,51.2,F,62
F124,167.3,59.3,59.3,92.1,33.9,55.5,32.4,97.9,68,97.1,103.9,58.9,F,21
F125,164.9,53,53,84,36,53.5,30.8,96.3,65,90.5,102.7,52.9,F,23
F126,155.3,47.3,47.3,81,33.7,49.5,30,90.2,64.5,88.6,94.2,52.7,F,40
F127,169.3,60.8,60.8,82.8,36.4,54,33.5,101.1,73.5,96.7,105.3,54,F,38
F128,154.2,51.7,51.7,86,32.3,53,32.4,87.7,74.3,92.2,95.5,52.4,F,53
F129,168.8,54.2,54.2,81,37.1,55.2,33.8,98.9,68.3,91,100.7,49,F,50
F130,162.2,51,51,86.7,34.1,51.6,30.9,94.5,69.2,89.3,98.4,50.8,F,43
F131,158.1,58.3,58.3,91.5,33.7,52.3,33,91.3,79.7,95.7,93.2,54.3,F,56
F132,160.8,60.1,60.1,94.5,35,49.7,31.9,92.7,81.1,95,97.1,54.8,F,51
F133,160.7,50.4,50.4,85.3,36.4,51,29.7,93.6,66.5,87.5,97.8,47.5,F,47
F134,167.3,59.5,59.5,90.5,36.7,57.6,32.2,97.5,74,92.2,104.2,54,F,46
F135,158.1,46.7,46.7,76.5,33.2,50,30.3,89.8,64.8,90.5,94.6,51,F,52
F136,163,49.5,49.5,85.8,34.8,51.4,30.8,94.7,67.7,88.6,98.5,49.9,F,37
F137,163.7,60,60,85.4,30.7,55,31.6,96.4,69.4,94.3,103.2,56,F,27
F138,152.5,50.9,50.9,85.8,34.7,48.4,34.6,90.4,72.9,92,94.4,53.7,F,44
F139,156,51.3,51.3,87,33,50.6,31,93,77.5,90,96.3,52.5,F,58
F140,159.2,63.1,63.1,91,34.4,52.9,34.4,95.1,83.6,94.4,101,55.8,F,52
F141,153.3,64,64,99.5,35.8,50.4,34.2,89.2,85.7,98.5,96.5,60,F,46
F142,158,52.5,52.5,89.9,33,51.7,33.1,90.5,75.1,87.5,98.8,50.3,F,52
F143,151.8,54.8,54.8,92.2,35.9,49.3,31.5,87.7,73.9,93.8,95.2,54,F,61
F144,160.5,62.9,62.9,95.6,36.6,52,31.9,93.8,77,100.6,95.5,60.7,F,49
F145,161.3,64.5,64.5,97.6,34.5,52.3,34.4,93,83.8,99,100.9,56.3,F,49
F146,158.3,54.4,54.4,85.8,33.7,51,32.2,92.3,72.9,93.5,97.4,56.7,F,48
F147,162.3,49.8,49.8,85,33,55,30.5,95,67,89.3,101.3,50.5,F,27
F148,160.5,50.3,50.3,65.9,35.6,51.7,31.6,93.3,74.7,91,100.5,52.6,F,46
F149,157.8,57.6,57.6,92.5,36,54.8,34,89.9,77.5,94.5,101.3,55.3,F,50
F150,163.1,54.1,54.1,80.2,35.6,54.7,32.4,93.5,64.8,94.7,101,56.9,F,29
F151,162.2,61.2,61.2,92.5,35,53,32,95.4,74.8,94.5,99.9,59,F,45
F152,158.1,45.3,45.3,78.5,31.3,51.1,28.8,92.8,66.2,85.3,98,51,F,39
F153,156.2,55.7,55.7,88.3,36.5,49.7,32,91.2,83,91.7,93.5,52.2,F,62
F154,153.4,53.1,53.1,84.4,32.9,48.8,33.5,89.1,72.8,93.5,92.8,53.3,F,48
F155,158.8,59.5,59.5,95.2,35.1,51.5,33.2,94.6,79.3,92.4,95.5,50.7,F,56
F156,160.7,52.7,52.7,81,32.8,50.5,30.2,93.1,66.5,91,95.5,52.8,F,32
F157,155.4,52.5,52.5,87.4,35.4,51.7,33.1,90.4,71.2,88,93.5,51.4,F,48
F158,159.9,45.4,45.4,78.5,31.3,50.8,29.6,91.3,62.6,85.7,99,50.8,F,24
F159,160.6,42.5,42.5,77.5,33.7,51,28.7,93.7,62.8,83.2,98.3,42.9,F,50
F160,164.7,55.3,55.3,86.1,35.3,53.5,34.2,96.3,71.6,94,103.4,52.5,F,48
F161,159.1,65.2,65.2,101.3,34.3,54.3,34.6,91.7,83.6,97.4,96.7,56.8,F,54
F162,162.9,50.9,50.9,78,33.8,50.6,30.3,95,63.4,93.4,99.7,53.6,F,29
F163,159.6,52.5,52.5,86.7,34.7,52.7,30.8,93.5,74,86.4,96.6,47.4,F,49
F164,157.3,49.8,49.8,84.1,35.7,50.8,30.6,90.9,68.8,89.8,97.9,50.7,F,29
F165,158.1,51.3,51.3,80,33.2,53.2,30.2,93.1,66.9,93.8,98.5,52.7,F,24
F166,149.9,48.5,48.5,81.5,31.7,47.4,33.2,86.3,70.7,86.8,88.8,50.5,F,60
F167,151.1,62.5,62.5,101.2,34,49.8,35,88.5,99.8,92.4,91.8,52.2,F,77
F168,157,70.3,70.3,100.2,32.9,52.7,34.4,92.1,86.8,104,97.5,62.7,F,28
F169,165.9,56.7,56.7,80.8,35.8,52.9,31.8,97.4,70.4,97.3,100.3,57,F,48
F170,157.7,51.7,51.7,88.2,34.5,53,32.6,92.2,75.4,89.2,96.4,50.4,F,54
F171,161,62.8,62.8,94.3,36,53,33.3,93.1,83.7,100,100.8,55.7,F,52
F172,155.2,67.4,67.4,98.4,35.4,53.4,36,92.3,92,99.7,95.5,54.8,F,63
F173,160.4,60.5,60.5,92.8,35.7,52.2,33.5,93.8,77.5,98,95.8,55.1,F,50
F174,161,54.7,54.7,80.7,33.7,52,32.6,93,70,90.6,100.5,52.5,F,33
F175,157.8,58.5,58.5,83.3,34.4,51.5,34,90.3,73.7,96.4,99.1,59,F,53
F176,156.2,60.8,60.8,92.3,35.1,50.8,32.7,91.8,79.9,94.6,98,56.9,F,40
F177,156.1,65.8,65.8,93.5,36.4,50.3,37.8,92.8,83.4,96,92.8,56.4,F,50
F178,155.8,59.1,59.1,89.8,35.4,49.1,32.8,89.8,74.2,96.5,95,56.6,F,57
F179,159.1,58.8,58.8,90,36.1,54.1,34,94,80.8,93.7,97.9,52.7,F,50
F180,153.8,57.3,57.3,94,33.9,49,35.6,89.9,80,92.9,93.9,54.4,F,53
F181,157,52,52,93.5,34,50,31.7,92,76.2,87,96.9,47.6,F,55
F182,169.1,57.1,57.1,87.5,38.6,56.3,31.5,97.9,70,90.6,104.5,55.5,F,22
F183,155.8,61.3,61.3,94.5,35.6,51.2,35.5,92.2,81.2,89,96.8,52,F,56
F184,159.9,57.8,57.8,92.8,33.3,51.5,32.9,94.7,78,92.2,99.5,56,F,64
F185,161.7,55,55,82,32.1,53,30.7,-6.1,69,91.7,98.3,54,F,25
F186,154.3,50.4,50.4,86.4,32.2,48.3,31.8,90,65.9,91.7,90.7,56.7,F,32
F187,161.7,51.8,51.8,85,35.6,50.7,31.8,95.5,67.6,91,97.8,52.4,F,44
F188,168,56.6,56.6,82.5,35.1,53,32.5,97.9,69.9,93.6,104.4,57.4,F,33
F189,152.8,60.1,60.1,93.4,35.1,48.5,33.6,91.3,80.9,94,90.7,54.5,F,46
F190,150.5,57.4,57.4,90.7,33.6,49.9,32.2,89,79.1,95.5,91.9,56.5,F,48
F191,152.8,61.6,61.6,103.3,36.2,52.7,35,89.6,93.5,92.7,92,47.6,F,73
F192,158.9,49.1,49.1,79.5,34.6,50.9,31,91.6,65.3,86.4,97.3,52.2,F,24
F193,170.4,54,54,82.8,36.4,57.1,32,97.6,71,91.8,103,50.4,F,39
F194,166.5,56.5,56.5,83.6,32.9,53.8,32,98.3,67.8,93.3,103,55.5,F,21
F195,158.4,53.1,53.1,92.5,33.2,52.3,33.5,92.5,81.2,90,95.2,50.9,F,69
F196,158.4,53.6,53.6,90,32.8,52.8,30.2,89.5,74,92.3,96,53.9,F,34
F197,155.4,56.5,56.5,91.5,33.5,48.3,32,91.4,76.7,91,92.4,54.5,F,55
F198,161.4,46.7,46.7,78.4,33.9,51.9,32.3,92.8,65.9,89.5,98.2,50,F,39
F199,160.4,52.5,52.5,83.8,34.6,52.4,30.8,93.5,69.6,90.8,95.9,53.9,F,48
F200,145.2,57.9,57.9,93.5,33.3,49.5,34,84.1,89,93.9,88.6,54.6,F,63
F201,159.7,52.6,52.6,87,35.5,53.2,31.3,90.9,72.5,88,99.2,49.9,F,23
F202,160.3,59.6,59.6,92.2,33.3,53.5,33.1,94.5,79.4,94,98.4,57.5,F,30
F203,148.3,55.4,55.4,95.5,33.7,46.7,31.4,85,77.8,92.5,85.4,53.8,F,65
F204,161.4,53.3,53.3,84.1,32.1,52.4,31.8,95.4,67.2,91.9,97.2,55.8,F,40
F205,166.9,54.2,54.2,85.5,33,53.7,31.3,95.4,64.8,90.7,103.1,52.2,F,31
F206,147.2,50.6,50.6,89.5,32.6,45.2,33.1,87.3,74.4,88.6,87.8,52.3,F,63
F207,152.4,55.8,55.8,88.5,33.8,50.8,31.7,88.4,75.5,96.2,92.9,52.7,F,59
F208,161.6,54.4,54.4,83.5,32.6,53.2,31.5,93.8,71,91.2,100.5,54,F,55
F209,156.5,60.1,60.1,95,33.4,51.5,32.6,90.5,82.2,95,98.5,56.7,F,56
F210,153.2,53.7,53.7,88.2,34.3,49,34.6,92.9,77.4,95.6,92.8,55.6,F,52
F211,156.1,47.4,47.4,81.1,34.2,49.5,31,90.4,68.5,86.8,96.9,48.9,F,51
F212,154.5,50,50,78.5,35.6,49.2,32.5,88.8,68.1,91.7,93.1,52.7,F,61
F213,161.3,57.3,57.3,89.6,35,53,31.9,95.4,73.8,90.5,100.7,54.6,F,50
F214,166.4,47.6,47.6,80,34.1,51.5,30.6,97.2,61.2,86.1,101,48.2,F,22
F215,165.5,53.2,53.2,84,36.3,55.5,31.4,95.5,71.2,90,101.6,52.3,F,24
F216,156.6,54.6,54.6,91,34.2,52.1,31.2,89.9,77.7,92.8,96.8,54,F,52
F217,162.4,44.2,44.2,78.8,34.3,52.2,29,93.7,61.7,84.8,99.8,48.4,F,38
F218,150.5,55.1,55.1,94,33.7,49,32,87.4,80,92.8,90.6,52.5,F,68
F219,164.6,56.5,56.5,83,32.1,52.2,31.2,94.7,69.9,94.8,99.5,54.8,F,48
F220,161.2,48.6,48.6,82,34.8,52.5,31.2,95.5,67,89.6,100.5,52.8,F,24
F221,163.2,70.2,70.2,92,35.8,54.5,34.5,96.2,87.3,101.6,98.2,61.7,F,51
F222,158.7,71.9,71.9,109.5,36.3,51.3,37.1,92.2,101.2,95.8,97.1,52.2,F,50
F223,163.5,46.5,46.5,77.7,34,52.5,29.2,97.9,62,87.2,102.4,49.8,F,24
F224,157.3,53,53,88,33.4,50.2,31.1,92.4,71.8,92.5,96.9,53.8,F,48
F225,162.9,54.7,54.7,87,33.3,52.1,32.4,96.7,77.5,92.6,101.3,49.3,F,50
F226,144.9,50.5,50.5,91,32.8,44.5,31,85.9,80.2,92,83.4,52.5,F,62
F227,151.5,50,50,83.5,33.1,49,31.4,87.7,67.5,87.2,90.3,50.2,F,57
F228,158.1,63.4,63.4,90.4,36.1,51,34.5,95,80,98.8,95.5,59.4,F,46
F229,157.4,49.5,49.5,87,33.5,53.2,32.3,91.7,65.4,87.2,95.8,52.4,F,45
F230,158.9,52.3,52.3,83.8,36.5,53,32,93.6,73.5,90.9,96.2,54.1,F,47
F231,160.2,52.3,52.3,82.5,34,51.5,30.6,91.9,69.3,88.5,97.8,51.6,F,23
F232,155,61.8,61.8,100.5,34.6,50.5,35.8,86.2,84.2,91.2,93.7,52.4,F,51
F233,152.2,47,47,79.6,33,49.7,30,87.2,62.8,91,96.3,52,F,22
F234,157.6,52.3,52.3,79.2,33.4,50.5,30.6,89.7,64.7,92.2,95.5,55.5,F,35
F235,160.3,54,54,86.4,32.5,53,31.5,91.6,73,89.6,96.8,50.4,F,38
F236,157.3,51.7,51.7,51.8,33.9,51,30.5,91.9,74.6,86.7,95.6,49.9,F,54
F237,167.4,54.2,54.2,84.6,34.5,56,32,92.9,68.7,89.9,102.9,53.4,F,25
F238,151.8,60,60,90.1,31.6,50.4,38,88.3,87,93,89.4,54.2,F,66
F239,154.8,67.4,67.4,97,34.8,50.2,35.2,92.2,89.4,101.4,89.5,60.8,F,49
F240,152.1,57.3,57.3,91.6,30.8,51.5,33.1,88.1,83.8,92.5,93.5,55.5,F,69
F241,163.7,53.7,53.7,84.8,33.5,55,30,95.8,72.7,91.7,100,53,F,43
F242,156.8,50.5,50.5,82.5,32.8,52.3,31.6,89.1,66.6,89,97.6,53.7,F,26
F243,159.2,64.4,64.4,97.3,35,53,33.3,91.1,88,97.6,95.7,55.5,F,54
F244,156.1,55.8,55.8,92.5,32.9,50.4,32.5,91.6,78.8,94.3,95,53.5,F,64
F245,159.6,59.9,59.9,92.3,35.8,52,31.5,93.9,75.5,98.4,97.5,56.8,F,29
F246,158,51.9,51.9,82.5,32.7,51.2,34.2,92.7,67.5,88.5,95,54.5,F,36
F247,151.9,55.9,55.9,87,32.1,50.5,31.6,87.2,80.5,95.7,91.2,55.7,F,51
F248,154.7,51.8,51.8,84.8,32.7,50.3,30.2,90.8,71,92.6,93.4,55,F,46
F249,160.9,56.5,56.5,87,33.5,51.5,34,96.5,71.3,94.7,98,55.9,F,54
F250,164.4,49,49,80.5,33.1,52,31,95.2,63,87.5,100,52.8,F,38
F251,162.3,51.6,51.6,83.6,34,54.5,29.3,94.9,65.8,92,99.6,52,F,45
F252,148.2,63.8,63.8,100.3,34.7,48.9,36.2,87.5,92.4,98,84.7,55,F,63
F253,160.8,57.4,57.4,90,35.1,52,32.5,94,76.8,95.8,95.4,55,F,53
F254,153.1,57.6,57.6,94.7,33.3,49.3,33.3,85.5,85.3,92,89,53.8,F,64
F255,159,61.3,61.3,94.2,35.9,52.5,33.2,92.3,78.6,98.6,98.3,54.8,F,53
F256,157.8,46.7,46.7,80.5,34.8,51.5,31.6,90.4,61.5,86.7,96,49.7,F,25
F257,151.6,55.8,55.8,98.6,34.3,49.7,31.8,88.8,81.7,90,93,51.7,F,61
F258,161,71.8,71.8,106.6,32.4,54.4,35.4,91.8,94.1,100.7,97.5,62.5,F,61
F259,160.9,64.9,64.9,97.3,33.4,53,34.8,96.8,87.8,96.5,95.6,55.2,F,56
F260,159,59.8,59.8,96.5,35.1,49.5,34.6,92.5,87.5,95.2,95.5,52,F,67
F261,157.6,45.5,45.5,73.5,34.2,50.7,31,90.9,62.7,85,95.6,49.7,F,22
F262,159.9,62.2,62.2,95.4,35,52.6,34.2,94,84.8,97.5,97.2,56.7,F,56
F263,151.9,44.5,44.5,82,32.3,48.9,29,88,66.8,85.7,90.9,46,F,54
F264,159.8,65.5,65.5,91,35.2,52.3,33.2,93,78.8,100.8,99.4,64,F,35
F265,157.6,58.4,58.4,93,35.1,51.3,31.8,91.9,78,91.2,76.3,53,F,48
F266,161.3,55.2,55.2,88.5,35.9,50.8,33.8,94.4,71.8,91,98.8,51.9,F,49
F267,157.6,53.5,53.5,82.5,31.6,50.5,30.8,91.8,67.5,94.3,96.3,56.7,F,25
F268,162.5,52.4,52.4,79.8,36.4,53.5,31.6,94.7,60.6,88.9,100.2,53.2,F,25
F269,158.8,45.2,45.2,76.7,35,52.1,29.9,90.3,63,83.4,96.5,49.7,F,27
F270,160.8,53.5,53.5,88.9,31.8,51.5,34.2,92.8,75,92.2,99.2,52.5,F,60
F271,156.8,50.3,50.3,84.7,34.5,52.5,30.6,89,69.8,89,99,52.8,F,62
F272,153.1,50.4,50.4,83.7,34.5,49.2,31.4,90.5,70.9,88.5,92.4,52.2,F,52
