﻿no,height,weight,top,chest,shoulder,arm,neck,ntk,waist,ass,bottom,thighs,gender,age
F805,162.8,56.1,56.1,86.6,36.4,51,35,92.2,74,87.4,100.6,51.4,M,57
F806,172.2,61.8,61.8,86,38.5,57.5,37.4,98.9,72.9,88.5,105.1,51.8,M,42
F807,171.6,70.2,70.2,90.7,37.5,57.3,38,97.5,79.9,94.5,103.7,56,M,43
F808,177.5,91.1,91.1,103,39.1,59,41.3,98.5,103,102.9,105,58.6,M,66
F809,166.3,77.9,77.9,104.7,37.2,54.8,39.3,92.4,87.4,100.2,99.2,59.2,M,72
F810,172.9,78.6,78.6,96.4,36.4,56.8,39.2,98.5,95.5,95.8,102.5,55.5,M,58
F811,167.2,67.5,67.5,93.8,36.6,55.2,38.8,93.4,85.1,92.5,101.6,52.5,M,67
F812,176.4,83.2,83.2,98.7,40.3,58.5,39,97.9,93,98.6,105,56.6,M,52
F813,172.1,57.8,57.8,85.6,37.6,53,31.8,96.1,73,87.1,102.1,51.2,M,41
F814,176.2,68.4,68.4,88,39.7,54.7,35.2,99.4,74.7,92.5,102.6,53.9,M,42
F815,170.5,83.2,83.2,101,37.9,57.3,40.3,97,93.3,98.1,103.8,62.4,M,24
F816,176.8,73,73,93.8,40,59.6,37.5,101.6,83.9,96.7,107.5,57.2,M,24
F817,173.5,79.6,79.6,98.9,36.4,56.7,40.5,99.4,92.2,97.2,103.2,59.2,M,59
F818,176.9,88.3,88.3,98.7,41.4,58.5,39.5,99.2,90.4,104,105.4,62.7,M,32
F819,169.1,71.6,71.6,95.3,38.9,57.5,37.2,94,86.9,92.1,103.6,54.3,M,55
F820,177.7,87.2,87.2,97,42,57.6,38.8,101.9,90.7,104.6,105.6,61.7,M,35
F821,174.6,71.2,71.2,92.3,39.6,57.8,37,100.5,86.1,94.7,106.5,52.6,M,45
F822,181.6,82.7,82.7,99.5,40.2,58.9,36.4,101.3,84.8,99.6,108.3,58.7,M,34
